scenario,maturity_class,family,threshold,n_models,median_penalty_kg_ha,median_penalty_pct,median_event_probability_pct
Irrigated,LS,Cold,Tmin ≤ −2.2°C,16,-355.7,-5.1,0.6
Irrigated,LS,Cold,Tmin ≤ −4°C,11,-234.1,-3.4,2.2
Irrigated,LS,Cold,Tmin ≤ 0°C,23,-541.6,-8.7,2.0
Irrigated,LS,Heat,Tmax ≥ 30°C,13,87.5,1.4,99.8
Irrigated,LS,Heat,Tmax ≥ 35°C,35,197.2,2.3,90.5
Irrigated,LS,Heat,Tmax ≥ 38°C,36,154.7,2.3,66.7
Irrigated,MS,Heat,Tmax ≥ 30°C,15,17.2,0.2,99.7
Irrigated,MS,Heat,Tmax ≥ 35°C,36,134.0,1.8,83.7
Irrigated,MS,Heat,Tmax ≥ 38°C,36,180.0,2.5,52.4
Irrigated,SS,Heat,Tmax ≥ 30°C,22,48.4,1.2,97.3
Irrigated,SS,Heat,Tmax ≥ 35°C,36,60.6,1.3,67.4
Irrigated,SS,Heat,Tmax ≥ 38°C,36,101.5,2.2,29.5
Irrigated,VSS,Heat,Tmax ≥ 30°C,32,1.1,0.1,89.3
Irrigated,VSS,Heat,Tmax ≥ 35°C,36,-9.2,-0.3,40.4
Irrigated,VSS,Heat,Tmax ≥ 38°C,36,25.6,1.1,12.8
Rainfed,LS,Cold,Tmin ≤ −2.2°C,15,-446.4,-10.5,0.6
Rainfed,LS,Cold,Tmin ≤ −4°C,10,-627.4,-14.9,2.2
Rainfed,LS,Cold,Tmin ≤ 0°C,22,-787.0,-18.9,1.8
Rainfed,LS,Heat,Tmax ≥ 30°C,13,892.6,13.7,99.8
Rainfed,LS,Heat,Tmax ≥ 35°C,35,650.3,11.0,90.1
Rainfed,LS,Heat,Tmax ≥ 38°C,36,822.9,16.9,66.7
Rainfed,MS,Heat,Tmax ≥ 30°C,15,-149.4,-1.8,99.7
Rainfed,MS,Heat,Tmax ≥ 35°C,36,702.8,9.6,83.9
Rainfed,MS,Heat,Tmax ≥ 38°C,36,849.0,16.1,53.9
Rainfed,SS,Heat,Tmax ≥ 30°C,22,-49.9,-1.0,97.3
Rainfed,SS,Heat,Tmax ≥ 35°C,36,322.1,7.6,66.9
Rainfed,SS,Heat,Tmax ≥ 38°C,36,481.1,12.9,29.5
Rainfed,VSS,Heat,Tmax ≥ 30°C,32,-20.0,-0.8,89.6
Rainfed,VSS,Heat,Tmax ≥ 35°C,36,36.3,1.3,40.4
Rainfed,VSS,Heat,Tmax ≥ 38°C,36,195.5,6.7,12.5
