region,planting_code,planting_label,scenario,cultivar_id,maturity_class,family,stage,threshold_code,threshold_label,plot_label,threshold_order,n,event_cases,no_event_cases,event_probability_pct,mean_yield_event_kg_ha,mean_yield_no_event_kg_ha,fe_status,beta_event_minus_noevent_kg_ha,associated_penalty_kg_ha,associated_penalty_pct,se_cluster_site,ci95_low_penalty_kg_ha,ci95_high_penalty_kg_ha,p_value
Northwest,A1,April 1,Rainfed,990001,LS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,18962,36,18926,0.18985339099251133,568.5277777777778,2269.18260593892,ESTIMABLE,-126.13891321126741,126.13891321126741,5.558781954397843,44.71157982884147,38.50582705485057,213.77199936768426,0.004784902051867078
Northwest,A1,April 1,Rainfed,990001,LS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,18962,36,18926,0.18985339099251133,568.5277777777778,2269.18260593892,ESTIMABLE,-126.13891321126741,126.13891321126741,5.558781954397843,44.71157982884147,38.50582705485057,213.77199936768426,0.004784902051867078
Northwest,A1,April 1,Rainfed,990001,LS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,18962,0,18962,0.0,,2265.9538550785783,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,18574,18574,0,100.0,2313.2883062345213,,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18574,17948,626,96.62969742651018,2183.462391352797,6035.517571884984,ESTIMABLE,-837.9200453212675,837.9200453212675,13.88315145041608,58.094719112190205,724.0564881694039,951.783602473131,3.6902775240268934e-47
Northwest,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,18574,14582,3992,78.50759125659523,1852.5855849677685,3996.1457915831666,ESTIMABLE,-469.18735784553405,469.18735784553405,11.740997008511407,25.275035991646096,419.6491975939541,518.725518097114,6.370438807570464e-77
Northwest,A1,April 1,Rainfed,990002,MS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,18962,0,18962,0.0,,2728.5201982913195,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990002,MS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,18962,0,18962,0.0,,2728.5201982913195,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990002,MS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,18962,0,18962,0.0,,2728.5201982913195,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,18587,18587,0,100.0,2783.569161241728,,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18587,17799,788,95.76047775326842,2746.608124051913,3618.4289340101523,ESTIMABLE,-450.5495524385948,450.5495524385948,12.451524146399905,47.19721451806715,358.04471181257225,543.0543930646173,1.3466460168826219e-21
Northwest,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,18587,12250,6337,65.90627858180449,2290.2541224489796,3737.1922045131764,ESTIMABLE,-600.8518248598336,600.8518248598336,16.077627052047845,21.673028676280264,558.3734692184205,643.3301805012468,3.63925824907249e-169
Northwest,A1,April 1,Rainfed,990003,SS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,18962,0,18962,0.0,,2260.877808248075,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990003,SS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,18962,0,18962,0.0,,2260.877808248075,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990003,SS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,18962,0,18962,0.0,,2260.877808248075,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,18578,18578,0,100.0,2307.6092690278824,,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18578,12997,5581,69.95909139842824,1946.0564745710549,3149.591291883175,ESTIMABLE,-599.7528130432024,599.7528130432024,19.042242547114856,18.219400049433833,564.0434451263849,635.46218096002,1.2003746163386808e-237
Northwest,A1,April 1,Rainfed,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,18578,6710,11868,36.117989019270105,1499.65260804769,2764.416582406471,ESTIMABLE,-499.34268949919334,499.34268949919334,18.0632214651421,12.739287258309025,474.37414528419765,524.311233714189,0.0
Northwest,A1,April 1,Rainfed,990004,VSS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,18962,0,18962,0.0,,1700.2963822381605,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990004,VSS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,18962,0,18962,0.0,,1700.2963822381605,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990004,VSS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,18962,0,18962,0.0,,1700.2963822381605,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Rainfed,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,18592,16399,2193,88.20460413080895,1707.5277760839076,1933.092567259462,ESTIMABLE,9.32973516165954,-9.32973516165954,-0.48263261261649104,8.220923050067535,-25.442448259467078,6.782977936147999,0.256426925593401
Northwest,A1,April 1,Rainfed,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18592,6834,11758,36.75774526678141,1553.7455370207786,1838.9796734138458,ESTIMABLE,99.33154243611138,-99.33154243611138,-5.401448633290995,8.026657364567493,-115.06350178690685,-83.5995830853159,3.5597754306717853e-35
Northwest,A1,April 1,Rainfed,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,18592,2044,16548,10.993975903614459,1611.3796477495107,1749.2965917331398,ESTIMABLE,-11.682242834424326,11.682242834424326,0.6678251641049607,15.960662866326514,-19.60008155296147,42.96456722181012,0.46420537171154097
Northwest,A1,April 1,Irrigated,990001,LS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,18962,51,18911,0.2689589705727244,6994.588235294118,6599.702131034847,ESTIMABLE,3542.054630129079,-3542.054630129079,-53.66991660839817,125.89277679091678,-3788.799938553016,-3295.3093217051423,3.607082838752728e-174
Northwest,A1,April 1,Irrigated,990001,LS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,18962,51,18911,0.2689589705727244,6994.588235294118,6599.702131034847,ESTIMABLE,3542.054630129079,-3542.054630129079,-53.66991660839817,125.89277679091678,-3788.799938553016,-3295.3093217051423,3.607082838752728e-174
Northwest,A1,April 1,Irrigated,990001,LS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,18962,0,18962,0.0,,6600.764212635798,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,18592,18592,0,100.0,6732.126237091222,,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18592,17963,629,96.61682444061962,6683.974113455436,8107.255961844197,ESTIMABLE,-385.81894641260345,385.81894641260345,4.758933827036088,34.06964025967252,319.04367853740945,452.59421428779746,9.933314573682554e-30
Northwest,A1,April 1,Irrigated,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,18592,14582,4010,78.4315834767642,6564.732889864216,7340.836907730673,ESTIMABLE,-79.57648864231382,79.57648864231382,1.0840247459865429,8.478849013464513,62.9582499455704,96.19472733905724,6.274130581065324e-21
Northwest,A1,April 1,Irrigated,990002,MS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,18962,0,18962,0.0,,7764.71158105685,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990002,MS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,18962,0,18962,0.0,,7764.71158105685,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990002,MS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,18962,0,18962,0.0,,7764.71158105685,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,18592,18592,0,100.0,7919.237360154905,,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18592,17804,788,95.76161790017211,7907.488878903617,8184.681472081218,ESTIMABLE,-119.20585714616342,119.20585714616342,1.4564507800674558,18.081881422841104,83.76602078467099,154.64569350765586,4.3231137999353636e-11
Northwest,A1,April 1,Irrigated,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,18592,12250,6342,65.88855421686748,7771.340571428572,8204.909965310628,ESTIMABLE,50.826018269230644,-50.826018269230644,-0.6194585740016275,11.245092928360002,-72.8659954116223,-28.78604112683899,6.18864510019119e-06
Northwest,A1,April 1,Irrigated,990003,SS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,18962,0,18962,0.0,,4588.250342790845,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990003,SS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,18962,0,18962,0.0,,4588.250342790845,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990003,SS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,18962,0,18962,0.0,,4588.250342790845,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,18592,18592,0,100.0,4679.561262908778,,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18592,12997,5595,69.90641135972461,4678.833884742633,4681.250938337802,ESTIMABLE,24.45879199885363,-24.45879199885363,-0.5224841035233704,6.0838225348716115,-36.38286505553516,-12.534718942172095,5.812406577520464e-05
Northwest,A1,April 1,Irrigated,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,18592,6710,11882,36.0907917383821,4502.3156482861405,4779.655361050328,ESTIMABLE,-87.82492113481432,87.82492113481432,1.8374739285703399,7.011735864386091,74.08217137150976,101.56767089811888,5.420516187396585e-36
Northwest,A1,April 1,Irrigated,990004,VSS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,18962,0,18962,0.0,,2222.9288049783777,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990004,VSS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,18962,0,18962,0.0,,2222.9288049783777,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990004,VSS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,18962,0,18962,0.0,,2222.9288049783777,LOW_EVENT_COUNT,,,,,,,
Northwest,A1,April 1,Irrigated,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,18592,16399,2193,88.20460413080895,2296.756082687969,2045.906520747834,ESTIMABLE,-1.0720120366327919,1.0720120366327919,0.05239789920807049,5.444651383043961,-9.599308582509567,11.74333265577515,0.8439115171612219
Northwest,A1,April 1,Irrigated,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18592,6834,11758,36.75774526678141,2328.0528241147204,2231.7794692974994,ESTIMABLE,50.83409824840838,-50.83409824840838,-2.277738412228046,4.664738409970451,-59.9768175292511,-41.69137896756566,1.1843650632684252e-27
Northwest,A1,April 1,Irrigated,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,18592,2044,16548,10.993975903614459,2599.9383561643835,2226.0636934977038,ESTIMABLE,50.53504504221736,-50.53504504221736,-2.2701527000251347,15.73598699302164,-81.37701280973052,-19.693077274704205,0.0013207543254198982
Northcentral,A1,April 1,Rainfed,990001,LS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,0,19456,0.0,,3023.9161698190787,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990001,LS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,19456,0,19456,0.0,,3023.9161698190787,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990001,LS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,19456,0,19456,0.0,,3023.9161698190787,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,19456,19456,0,100.0,3023.9161698190787,,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,19456,16928,2528,87.00657894736842,2647.531368147448,5544.265031645569,ESTIMABLE,-485.5040681562442,485.5040681562442,8.756869763351553,38.32795740036343,410.3826520505464,560.625484261942,8.997980175351501e-37
Northcentral,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19456,10685,8771,54.918791118421055,1682.7718296677585,4657.723862729449,ESTIMABLE,-780.9674332409631,780.9674332409631,16.767147565148107,27.365290743317484,727.3324489575936,834.6024175243327,3.8893868967201456e-179
Northcentral,A1,April 1,Rainfed,990002,MS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,0,19456,0.0,,4089.1806126644738,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990002,MS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,19456,0,19456,0.0,,4089.1806126644738,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990002,MS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,19456,0,19456,0.0,,4089.1806126644738,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,19456,19456,0,100.0,4089.1806126644738,,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,19456,14505,4951,74.55283717105263,3462.5706308169597,5924.966875378711,ESTIMABLE,-619.9398700729823,619.9398700729823,10.463178666013336,26.011696413419468,568.9578819258904,670.9218582200742,1.51546562884807e-125
Northcentral,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19456,6118,13338,31.4453125,2619.0341614906833,4763.521292547608,ESTIMABLE,-505.0967674105945,505.0967674105945,10.603432553157763,21.0809228714821,463.7789178216229,546.4146169995661,7.286599683350451e-127
Northcentral,A1,April 1,Rainfed,990003,SS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,0,19456,0.0,,3166.4267064144738,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990003,SS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,19456,0,19456,0.0,,3166.4267064144738,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990003,SS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,19456,0,19456,0.0,,3166.4267064144738,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,19456,19001,455,97.66138980263158,3138.827851165728,4318.9670329670325,ESTIMABLE,91.44121509885662,-91.44121509885662,-2.117201043695825,20.598503363456665,-131.81353982665885,-51.06889037105439,9.028697702989303e-06
Northcentral,A1,April 1,Rainfed,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,19456,8715,10741,44.79337993421053,2320.833161216294,3852.521832231636,ESTIMABLE,-288.2228290543903,288.2228290543903,7.481406766939267,17.872067980965642,253.19421948244613,323.2514386263344,1.648368771803522e-58
Northcentral,A1,April 1,Rainfed,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19456,2803,16653,14.40686677631579,1805.5190866928292,3395.4919834264097,ESTIMABLE,-177.86142350104998,177.86142350104998,5.23816355241602,15.468389086254694,147.54393799313834,208.17890900896163,1.3441374594272014e-30
Northcentral,A1,April 1,Rainfed,990004,VSS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,0,19456,0.0,,2129.0656352796054,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990004,VSS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,19456,0,19456,0.0,,2129.0656352796054,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990004,VSS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,19456,0,19456,0.0,,2129.0656352796054,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Rainfed,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,19456,13977,5479,71.83902138157895,2105.8845245760895,2188.200949078299,ESTIMABLE,-107.47093533437256,107.47093533437256,4.911383270336338,6.6696817758286215,94.39859926540531,120.5432714033398,2.055690654678382e-58
Northcentral,A1,April 1,Rainfed,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,19456,4651,14805,23.905222039473685,2111.131369597936,2134.699696048632,ESTIMABLE,91.40950399784245,-91.40950399784245,-4.282077903840203,9.471110190910649,-109.9725388656376,-72.8464691300473,4.848760998811292e-22
Northcentral,A1,April 1,Rainfed,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19456,734,18722,3.7726151315789473,2180.268392370572,2127.058220275612,ESTIMABLE,-6.070596361534386,6.070596361534386,0.2853986930714004,23.149567424445685,-39.30172204806082,51.44291477112959,0.7931412852831807
Northcentral,A1,April 1,Irrigated,990001,LS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,0,19456,0.0,,6001.319952713816,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990001,LS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,19456,0,19456,0.0,,6001.319952713816,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990001,LS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,19456,0,19456,0.0,,6001.319952713816,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,19456,19456,0,100.0,6001.319952713816,,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,19456,16928,2528,87.00657894736842,5874.655127599244,6849.493275316456,ESTIMABLE,81.37238532559746,-81.37238532559746,-1.1880059159827112,19.184473806350933,-118.97326304839734,-43.77150760279759,2.219566500197619e-05
Northcentral,A1,April 1,Irrigated,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19456,10685,8771,54.918791118421055,5442.526158165653,6682.053243643826,ESTIMABLE,-120.21045692239868,120.21045692239868,1.7990047750180165,12.173034353186457,96.35174800758439,144.06916583721298,5.335671684008239e-23
Northcentral,A1,April 1,Irrigated,990002,MS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,0,19456,0.0,,7193.840614720395,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990002,MS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,19456,0,19456,0.0,,7193.840614720395,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990002,MS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,19456,0,19456,0.0,,7193.840614720395,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,19456,19456,0,100.0,7193.840614720395,,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,19456,14505,4951,74.55283717105263,7038.364495001723,7649.340739244597,ESTIMABLE,-95.56947835861824,95.56947835861824,1.2493818959888052,13.884851559566133,68.35566937118382,122.78328734605266,5.860369145437139e-12
Northcentral,A1,April 1,Irrigated,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19456,6118,13338,31.4453125,6906.175547564563,7325.78954865797,ESTIMABLE,-155.61437861744113,155.61437861744113,2.124199413371744,13.812983492507316,128.5414284530805,182.68732878180177,1.9357473255523821e-29
