region,planting_code,planting_label,cultivar_id,cultivar_label,n_years,n_sites,rainfed_yield_mean_kg_ha,irrigated_yield_mean_kg_ha,irrigation_mean_mm,incremental_benefit_mean_kg_ha,incremental_iwue_mean_kg_m3,gross_irrigation_productivity_mean_kg_m3,yield_gap_mean_percent,rainfed_seasonal_precip_mean_mm
Northcentral,APR01,Apr 01,990001,Long Season,38,512,3023.9161698190787,6001.319952713816,278.7661903782895,2977.4037828947367,1.0550161408756633,2.8471815196787156,53.26593359575101,455.91041324013156
Northcentral,APR01,Apr 01,990002,Medium Season,38,512,4089.1806126644738,7193.840614720395,213.29795435855263,3104.6600020559213,1.376791575548225,4.285605573732028,45.81411313745514,393.4283511513158
Northcentral,APR01,Apr 01,990003,Short Season,38,512,3166.4267064144738,4288.910618832237,139.64201274671052,1122.4839124177631,0.7041059318377163,3.8145600557982084,27.220634257237766,337.95924136513156
Northcentral,APR01,Apr 01,990004,V. Short Season,38,512,2129.0656352796054,2358.7732833059213,69.30252878289474,229.70764802631578,0.21706306121749688,4.1860311941964286,7.844572241312882,288.4573910361842
Northcentral,APR10,Apr 10,990001,Long Season,38,512,3016.6950555098683,6075.6473581414475,276.08963815789474,3058.9523026315787,1.087104784081952,3.1434759741011264,54.06524770507314,540.1876027960526
Northcentral,APR10,Apr 10,990002,Medium Season,38,512,4225.355725740132,7174.0826994243425,212.61564555921052,2948.7269736842104,1.2842495002393943,4.640686706076935,43.81035660748312,476.7358655427632
Northcentral,APR10,Apr 10,990003,Short Season,38,512,3190.4812397203946,4307.631990131579,149.65177837171052,1117.1507504111842,0.6184797290691307,3.7954032554354,27.14811441477464,423.7689144736842
Northcentral,APR10,Apr 10,990004,V. Short Season,38,512,2204.7294921875,2359.460577713816,79.96761924342105,154.73108552631578,0.10880042195332078,3.631703379297854,5.041850449329573,376.0697471217105
Northcentral,APR20,Apr 20,990001,Long Season,38,512,3127.856805098684,6272.234837582237,277.2923519736842,3144.3780324835525,1.1173540701225007,3.2341635883015525,53.968944003792416,554.0218955592105
Northcentral,APR20,Apr 20,990002,Medium Season,38,512,4064.0632195723683,7064.59375,216.1119962993421,3000.5305304276317,1.2950998319532723,4.764793477906912,45.08120633897944,487.36898643092104
Northcentral,APR20,Apr 20,990003,Short Season,38,512,3160.474249588816,4245.990285773027,151.52780633223685,1085.5160361842106,0.6071837539881537,3.6602308961472096,27.357956063379657,434.9221833881579
Northcentral,APR20,Apr 20,990004,V. Short Season,38,512,2588.1421669407896,2763.6537314967104,89.20769942434211,175.51156455592104,0.13771213385025063,3.851401664153874,6.17171770405426,394.6299342105263
Northcentral,MAY01,May 01,990001,Long Season,38,512,3183.4145764802633,6495.092156661184,278.30360814144734,3311.6775801809213,1.1929095342044973,3.349223386249818,55.23751092875675,574.4841180098684
Northcentral,MAY01,May 01,990002,Medium Season,38,512,4067.1772717927633,7148.110608552632,220.05293996710526,3080.9333367598683,1.3205306642468764,4.725054859128481,46.28122696135955,509.4946032072368
