region,planting_code,planting_label,scenario,cultivar_id,cultivar_label,n_years,n_sites,yield_mean_kg_ha,yield_sd_across_years,irrigation_mean_mm,seasonal_precip_mean_mm,best_yield_mean_kg_ha,yield_penalty_percent
Northcentral,APR01,Apr 01,Irrigated,990001,Long Season,38,512,6001.319952713816,1377.9115501848787,278.7661903782895,461.6412931743421,7201.0372121710525,16.660339672033604
Northcentral,APR01,Apr 01,Irrigated,990002,Medium Season,38,512,7193.840614720395,1373.4104837404336,213.29795435855263,396.3531558388158,7848.225020559211,8.337992401142811
Northcentral,APR01,Apr 01,Irrigated,990003,Short Season,38,512,4288.910618832237,776.1268769948255,139.64201274671052,338.0113075657895,4456.744500411184,3.76584032500546
Northcentral,APR01,Apr 01,Irrigated,990004,V. Short Season,38,512,2358.7732833059213,675.977149961435,69.30252878289474,288.4573910361842,2924.1726973684213,19.335363283137323
Northcentral,APR01,Apr 01,Rainfed,990001,Long Season,38,512,3023.9161698190787,2073.474666213855,0.0,455.91041324013156,3563.9499897203946,15.152676705872732
Northcentral,APR01,Apr 01,Rainfed,990002,Medium Season,38,512,4089.1806126644738,2172.665767788629,0.0,393.4283511513158,4326.049547697368,5.475409664666765
Northcentral,APR01,Apr 01,Rainfed,990003,Short Season,38,512,3166.4267064144738,1226.853213270914,0.0,337.95924136513156,3237.0057565789475,2.180380742945163
Northcentral,APR01,Apr 01,Rainfed,990004,V. Short Season,38,512,2129.0656352796054,510.7591339879068,0.0,288.4573910361842,2697.9737356085525,21.08649512856079
Northcentral,APR10,Apr 10,Irrigated,990001,Long Season,38,512,6075.6473581414475,1394.292216592646,276.08963815789474,552.7507195723684,7201.0372121710525,15.62816328913692
Northcentral,APR10,Apr 10,Irrigated,990002,Medium Season,38,512,7174.0826994243425,1458.1306404875186,212.61564555921052,485.79214638157896,7848.225020559211,8.58974251335665
Northcentral,APR10,Apr 10,Irrigated,990003,Short Season,38,512,4307.631990131579,837.7799212354547,149.65177837171052,429.39633018092104,4456.744500411184,3.3457720151076127
Northcentral,APR10,Apr 10,Irrigated,990004,V. Short Season,38,512,2359.460577713816,596.9202596319361,79.96761924342105,380.3706825657895,2924.1726973684213,19.31185939061712
Northcentral,APR10,Apr 10,Rainfed,990001,Long Season,38,512,3016.6950555098683,2180.375097704194,0.0,540.1876027960526,3563.9499897203946,15.35529218392485
Northcentral,APR10,Apr 10,Rainfed,990002,Medium Season,38,512,4225.355725740132,2290.194048655213,0.0,476.7358655427632,4326.049547697368,2.327616011953286
Northcentral,APR10,Apr 10,Rainfed,990003,Short Season,38,512,3190.4812397203946,1353.4896161506422,0.0,423.7689144736842,3237.0057565789475,1.4372701303973803
Northcentral,APR10,Apr 10,Rainfed,990004,V. Short Season,38,512,2204.7294921875,509.5394655859547,0.0,376.0697471217105,2697.9737356085525,18.282025392281916
Northcentral,APR20,Apr 20,Irrigated,990001,Long Season,38,512,6272.234837582237,1448.0186364124952,277.2923519736842,563.9465460526316,7201.0372121710525,12.898174904845266
Northcentral,APR20,Apr 20,Irrigated,990002,Medium Season,38,512,7064.59375,1560.77044099877,216.1119962993421,495.85814144736844,7848.225020559211,9.984821644466237
Northcentral,APR20,Apr 20,Irrigated,990003,Short Season,38,512,4245.990285773027,873.3285689228558,151.52780633223685,439.9879728618421,4456.744500411184,4.728882587249798
Northcentral,APR20,Apr 20,Irrigated,990004,V. Short Season,38,512,2763.6537314967104,690.5212984660465,89.20769942434211,398.2845908717105,2924.1726973684213,5.489380501232647
Northcentral,APR20,Apr 20,Rainfed,990001,Long Season,38,512,3127.856805098684,2212.0147466024487,0.0,554.0218955592105,3563.9499897203946,12.236231874171825
Northcentral,APR20,Apr 20,Rainfed,990002,Medium Season,38,512,4064.0632195723683,2331.042872445713,0.0,487.36898643092104,4326.049547697368,6.056017741739638
Northcentral,APR20,Apr 20,Rainfed,990003,Short Season,38,512,3160.474249588816,1382.1857497904982,0.0,434.9221833881579,3237.0057565789475,2.3642684859175085
Northcentral,APR20,Apr 20,Rainfed,990004,V. Short Season,38,512,2588.1421669407896,716.1819786921775,0.0,394.6299342105263,2697.9737356085525,4.0708909511674465
Northcentral,MAY01,May 01,Irrigated,990001,Long Season,38,512,6495.092156661184,1554.189781044151,278.30360814144734,578.0244140625,7201.0372121710525,9.803380189685642
Northcentral,MAY01,May 01,Irrigated,990002,Medium Season,38,512,7148.110608552632,1696.0004958789868,220.05293996710526,511.6659642269737,7848.225020559211,8.920672001281302
Northcentral,MAY01,May 01,Irrigated,990003,Short Season,38,512,4204.680612664473,935.1033784254513,158.77107319078948,458.99136513157896,4456.744500411184,5.6557850180429945
Northcentral,MAY01,May 01,Irrigated,990004,V. Short Season,38,512,2744.9953741776317,604.7777327899646,96.83002672697368,415.1087068256579,2924.1726973684213,6.127453530772597
Northcentral,MAY01,May 01,Rainfed,990001,Long Season,38,512,3183.4145764802633,2273.699966173254,0.0,574.4841180098684,3563.9499897203946,10.677349972298172
Northcentral,MAY01,May 01,Rainfed,990002,Medium Season,38,512,4067.1772717927633,2378.2897018617427,0.0,509.4946032072368,4326.049547697368,5.984034002624756
Northcentral,MAY01,May 01,Rainfed,990003,Short Season,38,512,3237.0057565789475,1349.51358606796,0.0,458.7718441611842,3237.0057565789475,0.0
Northcentral,MAY01,May 01,Rainfed,990004,V. Short Season,38,512,2594.8449835526317,679.9139829608469,0.0,415.51639597039474,2697.9737356085525,3.8224520385354745
Northcentral,MAY10,May 10,Irrigated,990001,Long Season,38,512,6669.3661081414475,1563.1581192027775,280.9583162006579,596.9639699835526,7201.0372121710525,7.383257277590301
Northcentral,MAY10,May 10,Irrigated,990002,Medium Season,38,512,7392.204615542763,1793.5396647468503,222.50719572368422,530.205232319079,7848.225020559211,5.810490955876729
Northcentral,MAY10,May 10,Irrigated,990003,Short Season,38,512,4200.271330180921,964.286647630826,166.8752569901316,476.65933388157896,4456.744500411184,5.754720069921012
Northcentral,MAY10,May 10,Irrigated,990004,V. Short Season,38,512,2924.1726973684213,757.3228227197008,106.89633018092105,431.84446957236844,2924.1726973684213,0.0
Northcentral,MAY10,May 10,Rainfed,990001,Long Season,38,512,3224.6122018914475,2257.9701230680466,0.0,591.7793996710526,3563.9499897203946,9.521395889608693
Northcentral,MAY10,May 10,Rainfed,990002,Medium Season,38,512,4124.673879523027,2572.90000861053,0.0,528.1385690789474,4326.049547697368,4.654955195358965
Northcentral,MAY10,May 10,Rainfed,990003,Short Season,38,512,3091.127569901316,1417.6556586294896,0.0,475.68868215460526,3237.0057565789475,4.506577919459867
Northcentral,MAY10,May 10,Rainfed,990004,V. Short Season,38,512,2697.9737356085525,827.647951207574,0.0,432.0727282072368,2697.9737356085525,0.0
Northcentral,MAY20,May 20,Irrigated,990001,Long Season,38,512,7201.0372121710525,1646.6145619036104,281.7691200657895,616.826171875,7201.0372121710525,0.0
Northcentral,MAY20,May 20,Irrigated,990002,Medium Season,38,512,7848.225020559211,1885.656326905304,226.806640625,552.4097964638158,7848.225020559211,0.0
Northcentral,MAY20,May 20,Irrigated,990003,Short Season,38,512,4456.744500411184,1142.8664707706084,175.5602384868421,500.63795230263156,4456.744500411184,0.0
Northcentral,MAY20,May 20,Irrigated,990004,V. Short Season,38,512,2923.5810546875,740.4675978596619,118.53926809210526,451.04368832236844,2924.1726973684213,0.020232822823826744
Northcentral,MAY20,May 20,Rainfed,990001,Long Season,38,512,3563.9499897203946,2427.7482931613017,0.0,609.7348889802631,3563.9499897203946,0.0
Northcentral,MAY20,May 20,Rainfed,990002,Medium Season,38,512,4326.049547697368,2758.6807113997306,0.0,549.7430612664474,4326.049547697368,0.0
Northcentral,MAY20,May 20,Rainfed,990003,Short Season,38,512,3091.227847450658,1601.6094666056558,0.0,500.10829564144734,3237.0057565789475,4.5034800704944065
Northcentral,MAY20,May 20,Rainfed,990004,V. Short Season,38,512,2629.682257401316,915.4923290248049,0.0,450.95811060855266,2697.9737356085525,2.53121360322779
Northeast,APR01,Apr 01,Irrigated,990001,Long Season,38,467,6465.37011157444,1512.0876170013514,196.4738532627071,561.4317029189676,7626.696607686239,15.227123299246049
Northeast,APR01,Apr 01,Irrigated,990002,Medium Season,38,467,7853.834497915023,1526.409311660764,149.13924264623014,482.383015890905,8197.239546940154,4.189276732230139
Northeast,APR01,Apr 01,Irrigated,990003,Short Season,38,467,4527.385946128705,663.0519672836606,98.65462639468049,421.0503211991434,4819.983996393554,6.0705191237933365
Northeast,APR01,Apr 01,Irrigated,990004,V. Short Season,38,467,2419.287388707314,578.5290329046372,54.971542882903194,368.0318381607123,3125.4801081933956,22.5946956960247
Northeast,APR01,Apr 01,Rainfed,990001,Long Season,38,467,4566.098162966303,2423.3312063726576,0.0,560.6518088583342,5473.686577256846,16.580935014832068
Northeast,APR01,Apr 01,Rainfed,990002,Medium Season,38,467,6213.56102783726,2518.781044700233,0.0,482.1377211766032,6465.524512566211,3.897030847833653
Northeast,APR01,Apr 01,Rainfed,990003,Short Season,38,467,4058.5009579623575,1168.5695611528333,0.0,421.0503211991434,4228.865209061197,4.028604428767309
Northeast,APR01,Apr 01,Rainfed,990004,V. Short Season,38,467,2338.3436267327847,528.0994176117696,0.0,368.0318381607123,3035.6004733461064,22.969321975521492
Northeast,APR10,Apr 10,Irrigated,990001,Long Season,38,467,6629.434914910402,1548.2838507994252,184.7669897441677,681.9027949960555,7626.696607686239,13.075932400022177
Northeast,APR10,Apr 10,Irrigated,990002,Medium Season,38,467,7733.7002704834895,1559.0036073431836,143.6239152485067,598.2485630564634,8197.239546940154,5.654821648218073
Northeast,APR10,Apr 10,Irrigated,990003,Short Season,38,467,4566.117660317818,754.606241000746,101.73841992561704,540.5782711596979,4819.983996393554,5.266953920711881
Northeast,APR10,Apr 10,Irrigated,990004,V. Short Season,38,467,2424.8014200383186,479.82246054827596,59.13867913896089,490.64335624929555,3125.4801081933956,22.418273797944167
Northeast,APR10,Apr 10,Rainfed,990001,Long Season,38,467,4877.844133889327,2585.8849897407717,0.0,679.061140538713,5473.686577256846,10.885578393239447
Northeast,APR10,Apr 10,Rainfed,990002,Medium Season,38,467,6465.524512566211,2513.267982351401,0.0,597.830102558323,6465.524512566211,0.0
Northeast,APR10,Apr 10,Rainfed,990003,Short Season,38,467,4200.670348247492,1203.1337047144573,0.0,540.5778203538825,4228.865209061197,0.666724036351202
Northeast,APR10,Apr 10,Rainfed,990004,V. Short Season,38,467,2398.26749690071,450.2517415833638,0.0,490.64335624929555,3035.6004733461064,20.995285184643286
Northeast,APR20,Apr 20,Irrigated,990001,Long Season,38,467,6768.546320297532,1564.6684680310516,185.92499718246367,697.2962921221683,7626.696607686239,11.251926378241631
Northeast,APR20,Apr 20,Irrigated,990002,Medium Season,38,467,7556.062774709793,1648.5661056618026,147.9248844810098,611.3560238927082,8197.239546940154,7.8218620861177355
Northeast,APR20,Apr 20,Irrigated,990003,Short Season,38,467,4544.388369209963,803.285442447409,103.73605319508621,551.401667981517,4819.983996393554,5.717770585748823
Northeast,APR20,Apr 20,Irrigated,990004,V. Short Season,38,467,2786.0936549081484,588.9572226851494,62.590161163079,506.89552575228225,3125.4801081933956,10.858698233130683
Northeast,APR20,Apr 20,Rainfed,990001,Long Season,38,467,4950.243773244675,2701.686399388685,0.0,694.1950298658852,5473.686577256846,9.562893246154696
Northeast,APR20,Apr 20,Rainfed,990002,Medium Season,38,467,6259.340076636989,2529.7056711349574,0.0,610.6805477290658,6465.524512566211,3.1889823560097623
Northeast,APR20,Apr 20,Rainfed,990003,Short Season,38,467,4185.76952552688,1224.7292676047637,0.0,551.401667981517,4228.865209061197,1.0190838772060073
Northeast,APR20,Apr 20,Rainfed,990004,V. Short Season,38,467,2746.9124873210862,597.1283141292727,0.0,506.89992110898237,3035.6004733461064,9.51007843620484
Northeast,MAY01,May 01,Irrigated,990001,Long Season,38,467,6910.169221232954,1635.1999023426374,186.81111236334948,719.9780795672265,7626.696607686239,9.394990037117292
Northeast,MAY01,May 01,Irrigated,990002,Medium Season,38,467,7674.631973402456,1872.4847114606105,153.21480897103572,628.5482925729742,8197.239546940154,6.3754093136484675
Northeast,MAY01,May 01,Irrigated,990003,Short Season,38,467,4534.148371463992,896.220962866871,110.63760847514932,569.2478868477403,4819.983996393554,5.930219377147979
Northeast,MAY01,May 01,Irrigated,990004,V. Short Season,38,467,2824.8186070100305,499.23505654633135,68.54220669446636,523.8668995830046,3125.4801081933956,9.619690120413367
Northeast,MAY01,May 01,Rainfed,990001,Long Season,38,467,5012.06981855066,2931.574778938858,0.0,715.0032119914347,5473.686577256846,8.433379445293832
Northeast,MAY01,May 01,Rainfed,990002,Medium Season,38,467,6151.6206469063445,2683.9933952011893,0.0,627.284627521695,6465.524512566211,4.855040995510451
Northeast,MAY01,May 01,Rainfed,990003,Short Season,38,467,4133.131015440099,1301.7262265300617,0.0,569.2476050941057,4228.865209061197,2.263827028962001
Northeast,MAY01,May 01,Rainfed,990004,V. Short Season,38,467,2783.8269469176153,500.232185196696,0.0,523.8668995830046,3035.6004733461064,8.294027117177384
Northeast,MAY10,May 10,Irrigated,990001,Long Season,38,467,7072.062718359067,1741.225275540527,188.20015778203538,746.8377662571847,7626.696607686239,7.2722689502058895
Northeast,MAY10,May 10,Irrigated,990002,Medium Season,38,467,7952.859404936324,1870.8569187563837,156.78885382621434,650.1555280063113,8197.239546940154,2.9812492437780764
Northeast,MAY10,May 10,Irrigated,990003,Short Season,38,467,4530.493237912769,971.8664853923856,119.97774146286486,588.719091626282,4819.983996393554,6.006052275223118
Northeast,MAY10,May 10,Irrigated,990004,V. Short Season,38,467,3075.219767835005,686.7750319715208,74.6280852022991,540.7567339118675,3125.4801081933956,1.6080838341166874
Northeast,MAY10,May 10,Rainfed,990001,Long Season,38,467,5123.9811225064805,3048.816803787276,0.0,740.1429617942072,5473.686577256846,6.388846891661482
Northeast,MAY10,May 10,Rainfed,990002,Medium Season,38,467,6303.792572974191,2910.2696246207506,0.0,648.3410345993464,6465.524512566211,2.501451185865628
Northeast,MAY10,May 10,Rainfed,990003,Short Season,38,467,4044.5786092640597,1351.5099801400893,0.0,588.4349149104023,4228.865209061197,4.357826288770469
Northeast,MAY10,May 10,Rainfed,990004,V. Short Season,38,467,3035.6004733461064,711.1585134072349,0.0,540.7567339118675,3035.6004733461064,0.0
Northeast,MAY20,May 20,Irrigated,990001,Long Season,38,467,7626.696607686239,1766.1746065603165,189.649780232165,778.5682970810324,7626.696607686239,0.0
Northeast,MAY20,May 20,Irrigated,990002,Medium Season,38,467,8197.239546940154,1987.438715231291,161.3659416206469,676.2628197903753,8197.239546940154,0.0
Northeast,MAY20,May 20,Irrigated,990003,Short Season,38,467,4819.983996393554,1213.281571732623,130.0602952778091,613.4919418460498,4819.983996393554,0.0
Northeast,MAY20,May 20,Irrigated,990004,V. Short Season,38,467,3125.4801081933956,682.7621757489335,86.25042263045194,564.3849881663473,3125.4801081933956,0.0
Northeast,MAY20,May 20,Rainfed,990001,Long Season,38,467,5473.686577256846,3220.844666244496,0.0,770.7162740899357,5473.686577256846,0.0
Northeast,MAY20,May 20,Rainfed,990002,Medium Season,38,467,6374.6174349149105,3286.1576156930582,0.0,674.4101205905556,6465.524512566211,1.406027886440093
Northeast,MAY20,May 20,Rainfed,990003,Short Season,38,467,4228.865209061197,1575.7991857301602,0.0,613.4457342499718,4228.865209061197,0.0
Northeast,MAY20,May 20,Rainfed,990004,V. Short Season,38,467,3031.6636988617156,746.9062300551183,0.0,564.3849881663473,3035.6004733461064,0.12968684512198977
Northwest,APR01,Apr 01,Irrigated,990001,Long Season,38,499,6600.764212635798,1417.8671658044434,369.1250922898428,364.6905389726822,7927.752715958231,16.738520370990656
Northwest,APR01,Apr 01,Irrigated,990002,Medium Season,38,499,7764.71158105685,1491.6146901707552,280.81689695179836,317.5095454066027,8734.444626094293,11.102400742691183
Northwest,APR01,Apr 01,Irrigated,990003,Short Season,38,499,4588.250342790845,967.411833173229,198.20825862250817,263.64355025841155,5137.421949161481,10.689634057803465
Northwest,APR01,Apr 01,Irrigated,990004,V. Short Season,38,499,2222.9288049783777,727.9833780460026,95.07435924480541,219.72038814471048,3241.861776183947,31.43048783544909
Northwest,APR01,Apr 01,Rainfed,990001,Long Season,38,499,2265.9538550785783,1664.1155642945923,0.0,362.7592553528109,2376.3952642126355,4.6474343219434715
Northwest,APR01,Apr 01,Rainfed,990002,Medium Season,38,499,2728.5201982913195,1478.8367290395042,0.0,316.70129733150515,2947.381394367683,7.425615038983332
Northwest,APR01,Apr 01,Rainfed,990003,Short Season,38,499,2260.877808248075,1021.8304521161343,0.0,263.45601729775336,2406.7317793481698,6.060250350772259
Northwest,APR01,Apr 01,Rainfed,990004,V. Short Season,38,499,1700.2963822381605,611.1658940363932,0.0,219.72033540765742,2373.990876489822,28.37814167372811
Northwest,APR10,Apr 10,Irrigated,990001,Long Season,38,499,6778.074253770699,1253.748435727082,382.87627887353653,430.0751503006012,7927.752715958231,14.501946558868797
Northwest,APR10,Apr 10,Irrigated,990002,Medium Season,38,499,7841.580107583588,1383.4386622140992,290.88176352705415,383.8153148402067,8734.444626094293,10.222338760306044
Northwest,APR10,Apr 10,Irrigated,990003,Short Season,38,499,4636.988134163063,857.200986323189,209.7088914671448,330.2838308195338,5137.421949161481,9.740952173105002
Northwest,APR10,Apr 10,Irrigated,990004,V. Short Season,38,499,2315.1354814892943,619.8506119620267,109.19338677354709,286.428963189537,3241.861776183947,28.586237127775345
Northwest,APR10,Apr 10,Rainfed,990001,Long Season,38,499,2208.3298702668494,1681.8274509783403,0.0,416.99356607952745,2376.3952642126355,7.07228281745759
