planting_code,planting_label,region,scenario,cultivar_id,maturity_class,maturity_class_long,stage,stage_label,threshold,threshold_label,n_sites,valid_site_years,event_site_years,equal_site_mean_probability_pct,mean_exposure_days,mean_exceedance_degree_c_days,mean_longest_consecutive_run_days,pooled_probability_pct
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,establishment,Planting to emergence,tmax_ge30,Tmax ≥ 30°C,512,19456,4906,25.215871710526315,0.30535567434210525,0.36242804276315793,,25.215871710526315
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,establishment,Planting to emergence,tmax_ge35,Tmax ≥ 35°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,establishment,Planting to emergence,tmax_ge38,Tmax ≥ 38°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,establishment,Planting to emergence,tmin_le0,Tmin ≤ 0°C,512,19456,15074,77.47738486842105,4.1957750822368425,,,77.47738486842105
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,11.645764802631579,58.240352590460525,,100.0
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge35,Tmax ≥ 35°C,512,19456,16928,87.00657894736842,5.306640625,15.8970703125,3.7345805921052633,87.00657894736842
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge38,Tmax ≥ 38°C,512,19456,10685,54.918791118421055,2.2381270559210527,4.924532277960527,1.6555818256578947,54.918791118421055
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,growing,Planting to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,63.128957648026315,277.73998252467106,,100.0
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,growing,Planting to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18919,97.2399259868421,24.407175164473685,66.43577816611842,7.7388466282894735,97.23992598684211
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,growing,Planting to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,17853,91.76089638157895,9.587222450657894,18.344089226973686,3.9234169407894735,91.76089638157895
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,growing,Planting to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,16701,85.83984375,4.728258634868421,,,85.83984375
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,reproductive,Anthesis to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,38.5276521381579,193.0197728207237,,100.0
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,reproductive,Anthesis to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18764,96.44325657894737,17.986636513157894,52.63251953125,7.264597039473684,96.44325657894737
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,reproductive,Anthesis to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,17550,90.20353618421052,7.872995476973684,15.405114103618422,3.5440995065789473,90.20353618421052
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,reproductive,Anthesis to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,vegetative,Emergence to pre-anthesis,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,24.381167763157894,84.49906455592105,,100.0
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,vegetative,Emergence to pre-anthesis,tmax_ge35,Tmax ≥ 35°C,512,19456,17132,88.05509868421052,6.420538651315789,13.803258634868422,3.1585629111842106,88.05509868421052
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,vegetative,Emergence to pre-anthesis,tmax_ge38,Tmax ≥ 38°C,512,19456,10624,54.60526315789473,1.7142269736842104,2.9389751233552635,1.270250822368421,54.60526315789474
A1,April 1,Northcentral,Irrigated,990001,LS,Long Season,vegetative,Emergence to pre-anthesis,tmin_le0,Tmin ≤ 0°C,512,19456,5190,26.675575657894736,0.5582853618421052,,,26.675575657894736
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,establishment,Planting to emergence,tmax_ge30,Tmax ≥ 30°C,512,19456,4906,25.215871710526315,0.30535567434210525,0.36242804276315793,,25.215871710526315
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,establishment,Planting to emergence,tmax_ge35,Tmax ≥ 35°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,establishment,Planting to emergence,tmax_ge38,Tmax ≥ 38°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,establishment,Planting to emergence,tmin_le0,Tmin ≤ 0°C,512,19456,15074,77.47738486842105,4.1957750822368425,,,77.47738486842105
A1,April 1,Northcentral,Irrigated,990002,MS,Medium Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,9.487458881578947,36.83394839638158,,100.0
