region,planting_code,planting_label,scenario,cultivar_id,maturity_class,family,stage,threshold_code,threshold_label,plot_label,threshold_order,n,event_cases,no_event_cases,event_probability_pct,mean_yield_event_kg_ha,mean_yield_no_event_kg_ha,fe_status,beta_event_minus_noevent_kg_ha,associated_penalty_kg_ha,associated_penalty_pct,se_cluster_site,ci95_low_penalty_kg_ha,ci95_high_penalty_kg_ha,p_value,significant_positive_penalty
Southeast,A20,April 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,2093,18351,10.23772255918607,2724.763497372193,6963.088605525584,ESTIMABLE,-2590.059823145204,2590.059823145204,37.196996474952975,55.819397197402985,2480.6558149995576,2699.4638312908496,0.0,True
Southeast,M1,May 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,3131,17313,15.315006847974956,3092.714148834238,6930.395829723329,ESTIMABLE,-1938.0910292955832,1938.0910292955832,27.96508420173389,34.714719657148684,1870.051429034167,2006.1306295569996,0.0,True
Northeast,M10,May 10,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,17746,5968,11778,33.63011382846839,3366.7161528150136,7792.030989981321,ESTIMABLE,-1929.34989830245,1929.34989830245,24.760552169044637,35.152629990051096,1860.4520095600876,1998.2477870448129,0.0,True
Southwest,M20,May 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,9578,9553,25,99.73898517435792,2544.9698524023866,3643.2,ESTIMABLE,-1882.6874476966443,1882.6874476966443,51.6767525169259,237.10041800772655,1417.9791676821085,2347.3957277111804,2.014255288040402e-15,True
Northeast,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,17746,5703,12043,32.13681956497239,1961.3010696124848,5799.607905007058,ESTIMABLE,-1727.301228620462,1727.301228620462,29.78306907832866,24.076303696814755,1680.1125404938564,1774.4899167470674,0.0,True
Northeast,A10,April 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,17746,6189,11557,34.875464893497124,2246.098238810793,6287.195639006663,ESTIMABLE,-1687.0576368355937,1687.0576368355937,26.8332295303306,32.207907417425965,1623.9312982800382,1750.1839753911488,0.0,True
Southeast,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,20444,4505,15939,22.0358051261984,4482.101442841287,6990.319781667608,ESTIMABLE,-1657.0869662099412,1657.0869662099412,23.70545294016045,31.03820943050076,1596.2531935815482,1717.9207388383345,0.0,True
Southeast,M10,May 10,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,4533,15911,22.172764625317942,2967.700860357379,7322.12639054742,ESTIMABLE,-1625.5289917176208,1625.5289917176208,22.200231258178164,47.642618585283344,1532.1511751612868,1718.9068082739548,3.827063194060517e-255,True
Northwest,M20,May 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,18962,18349,613,96.76721864782196,2661.7426562755463,10235.122349102774,ESTIMABLE,-1604.2857563800446,1604.2857563800446,15.674319286673487,125.36623807918212,1358.5724448675735,1849.9990678925155,1.7086356280936884e-37,True
Southwest,M20,May 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,9578,8203,1375,85.6441845896847,2293.843471900524,4063.112,ESTIMABLE,-1596.9702427210143,1596.9702427210143,39.304115730036834,37.94135329560378,1522.6065567369208,1671.3339287051078,0.0,True
Southeast,A10,April 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20421,4606,15815,22.555212771166936,2029.952887537994,5911.667657287386,ESTIMABLE,-1594.000485950031,1594.000485950031,26.963634939543443,29.591207380579604,1536.0027852250391,1651.998186675023,0.0,True
Southeast,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,3437,17007,16.81177851692428,1478.508874018039,5278.434997354031,ESTIMABLE,-1572.317913218855,1572.317913218855,29.78757745443536,19.26610984241936,1534.5570318055204,1610.0787946321896,0.0,True
Northeast,M1,May 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,17746,4973,12773,28.023216499492843,3441.4076010456465,7206.806545055977,ESTIMABLE,-1492.4854873287711,1492.4854873287711,20.709387410331527,41.26739896302095,1411.6028716256044,1573.3681030319378,2.0693248460482298e-286,True
Southeast,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,1110,19334,5.429465857953434,2434.917117117117,6667.41574428468,ESTIMABLE,-1408.5130598386784,1408.5130598386784,21.12532222167274,63.2417471316716,1284.5615131412128,1532.464606536144,6.922365341210011e-110,True
Southeast,A10,April 10,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20421,1337,19084,6.547181822633563,3397.112939416604,7059.291238734018,ESTIMABLE,-1362.5798303556298,1362.5798303556298,19.30193533989949,66.43803333021712,1232.3636778247326,1492.795982886527,1.7881334075391235e-93,True
Southeast,A10,April 10,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,20421,5143,15278,25.18485872386269,4998.231771339685,7432.618667364838,ESTIMABLE,-1357.4886581941464,1357.4886581941464,18.26393521511619,31.57540508617013,1295.6020014279902,1419.3753149603026,0.0,True
Southcentral,M10,May 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19266,13952,5314,72.41773071732585,2212.140840022936,4735.93733534061,ESTIMABLE,-1323.3487471343053,1323.3487471343053,27.94269969028485,25.74944616382766,1272.88076003135,1373.8167342372606,0.0,True
