region,planting_code,planting_label,scenario,cultivar_id,maturity_class,family,stage,threshold_code,threshold_label,plot_label,threshold_order,n,event_cases,no_event_cases,event_probability_pct,mean_yield_event_kg_ha,mean_yield_no_event_kg_ha,fe_status,beta_event_minus_noevent_kg_ha,associated_penalty_kg_ha,associated_penalty_pct,se_cluster_site,ci95_low_penalty_kg_ha,ci95_high_penalty_kg_ha,p_value,significant_positive_penalty
Southwest,M1,May 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,9107,9082,25,99.72548588997476,1784.728584012332,1873.56,ESTIMABLE,-1073.6212296415863,1073.6212296415863,57.30380823894544,249.43659905396635,584.7344790696545,1562.507980213518,1.6760168744904496e-05,True
Southwest,M20,May 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,9578,9553,25,99.73898517435792,2544.9698524023866,3643.2,ESTIMABLE,-1882.6874476966443,1882.6874476966443,51.6767525169259,237.10041800772655,1417.9791676821085,2347.3957277111804,2.014255288040402e-15,True
Southwest,M20,May 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,9578,8203,1375,85.6441845896847,2293.843471900524,4063.112,ESTIMABLE,-1596.9702427210143,1596.9702427210143,39.304115730036834,37.94135329560378,1522.6065567369208,1671.3339287051078,0.0,True
Southwest,M10,May 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,9395,8142,1253,86.66311868014901,1697.2817489560305,2789.439744612929,ESTIMABLE,-1056.448355632804,1056.448355632804,37.87313770347815,63.27946780496435,932.422877774212,1180.473833491396,1.4260824830094557e-62,True
Southeast,A20,April 20,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,2093,18351,10.23772255918607,2724.763497372193,6963.088605525584,ESTIMABLE,-2590.059823145204,2590.059823145204,37.196996474952975,55.819397197402985,2480.6558149995576,2699.4638312908496,0.0,True
Southeast,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,3437,17007,16.81177851692428,1478.508874018039,5278.434997354031,ESTIMABLE,-1572.317913218855,1572.317913218855,29.78757745443536,19.26610984241936,1534.5570318055204,1610.0787946321896,0.0,True
Northeast,A1,April 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,17746,5703,12043,32.13681956497239,1961.3010696124848,5799.607905007058,ESTIMABLE,-1727.301228620462,1727.301228620462,29.78306907832866,24.076303696814755,1680.1125404938564,1774.4899167470674,0.0,True
Southwest,A20,April 20,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,8907,7941,966,89.15459750757832,1699.6525626495404,2684.223602484472,ESTIMABLE,-797.216429150261,797.216429150261,29.700075225192524,38.98821214139377,720.800937531522,873.631920769,6.306921558629593e-93,True
Northcentral,A10,April 10,Rainfed,990001,LS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,24,19432,0.1233552631578947,2999.1666666666665,3016.716704405105,ESTIMABLE,-891.223914488259,891.223914488259,29.542844151950558,81.5581020718911,731.3729717799108,1051.0748571966071,8.518821186698685e-28,True
Southwest,A10,April 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,8848,8749,99,98.88110307414104,1760.7725454337638,3279.0,ESTIMABLE,-948.731644768111,948.731644768111,28.933566476612107,151.274371038709,652.2393257482923,1245.2239637879295,3.57367300571482e-10,True
Southeast,M1,May 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,3131,17313,15.315006847974956,3092.714148834238,6930.395829723329,ESTIMABLE,-1938.0910292955832,1938.0910292955832,27.96508420173389,34.714719657148684,1870.051429034167,2006.1306295569996,0.0,True
Southcentral,M10,May 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19266,13952,5314,72.41773071732585,2212.140840022936,4735.93733534061,ESTIMABLE,-1323.3487471343053,1323.3487471343053,27.94269969028485,25.74944616382766,1272.88076003135,1373.8167342372606,0.0,True
Southwest,A1,April 1,Rainfed,990002,MS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,9525,5813,3712,61.02887139107612,1913.2501290211596,3505.644665948276,ESTIMABLE,-977.082336689286,977.082336689286,27.871687800537124,22.023527065916703,933.917016827546,1020.2476565510258,0.0,True
Southeast,M10,May 10,Rainfed,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20444,2123,18321,10.384464879671295,2135.913801224682,4384.103542383058,ESTIMABLE,-1212.224829826823,1212.224829826823,27.650460763704874,24.07652685921669,1165.035704309947,1259.413955343699,0.0,True
Southwest,M1,May 1,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,9107,7900,1207,86.74645876798067,1635.1093670886075,2765.8492129246065,ESTIMABLE,-747.0802073844226,747.0802073844226,27.01087983731624,34.69495529116054,679.0793445685206,815.0810702003246,7.672123629136439e-103,True
Southeast,A10,April 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,20421,4606,15815,22.555212771166936,2029.952887537994,5911.667657287386,ESTIMABLE,-1594.000485950031,1594.000485950031,26.963634939543443,29.591207380579604,1536.0027852250391,1651.998186675023,0.0,True
Northeast,A10,April 10,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,17746,6189,11557,34.875464893497124,2246.098238810793,6287.195639006663,ESTIMABLE,-1687.0576368355937,1687.0576368355937,26.8332295303306,32.207907417425965,1623.9312982800382,1750.1839753911488,0.0,True
Southcentral,M20,May 20,Rainfed,990001,LS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19266,12947,6319,67.20128724177307,2661.353054761721,4312.632062035133,ESTIMABLE,-1140.08400905371,1140.08400905371,26.435921095381,33.11340793997389,1075.1829220859786,1204.9850960214417,9.071801055573673e-260,True
